origin,job_original,populations_original,origin_DA_id,job_increase
13452157,10330.0,27906.0,35202364,49745.0
13468543,10925.0,29041.0,35203131,0.0
13460352,174580.0,333681.0,35201124,1825.0
13468547,11010.0,29696.0,35201512,0.0
13468552,31195.0,118878.0,35204192,0.0
13468555,3185.0,9295.0,35201657,0.0
13443980,2060.0,4718.0,35202497,0.0
13460365,220945.0,289734.0,35203858,27850.0
14042002,360.0,958.0,35201406,0.0
13452185,55.0,2515.0,35201986,0.0
13452189,12785.0,34931.0,35204350,0.0
14042015,216040.0,277056.0,35200934,13170.0
14050209,121185.0,233781.0,35204160,1065.0
13452196,340.0,3987.0,35201858,0.0
13468580,1105.0,8603.0,35204098,0.0
13444003,345.0,2992.0,35203915,0.0
14017448,126265.0,243953.0,35201316,1335.0
13460395,605.0,7605.0,35201807,0.0
13452202,70.0,416.0,35204110,0.0
20054956,403485.0,338738.0,35201104,91200.0
14042031,171020.0,252439.0,35201354,2200.0
13452208,2830.0,8835.0,35200449,0.0
13452216,10305.0,27783.0,35202605,33665.0
13460410,685.0,7797.0,35201802,0.0
13452220,110.0,2454.0,35201971,0.0
13460411,121190.0,270093.0,35204485,0.0
13460417,66730.0,225871.0,35201129,1170.0
13452235,2740.0,8886.0,35200450,0.0
13452236,340.0,3962.0,35201859,0.0
13452239,0.0,2501.0,35203054,0.0
13452244,795.0,4935.0,35202954,0.0
13452252,145.0,3880.0,35201862,0.0
30098398,220.0,1427.0,35200382,0.0
13460447,439255.0,375282.0,35202789,71540.0
13460447,439255.0,375282.0,35202790,71540.0
13460447,439255.0,375282.0,35204735,71540.0
30098404,360.0,1608.0,35202758,0.0
14017513,123545.0,232097.0,35201353,1620.0
13460464,33960.0,151568.0,35203246,0.0
13452281,700.0,4857.0,35202154,0.0
13452286,475.0,4662.0,35204340,0.0
13468673,83810.0,185370.0,35204222,8950.0
14050309,346515.0,309535.0,35200965,50290.0
13460486,148505.0,284083.0,35200724,18730.0
13460486,148505.0,284083.0,35200569,18730.0
13444109,0.0,486.0,35200044,0.0
13452304,9965.0,27753.0,35202395,40175.0
13460498,142610.0,325575.0,35204548,77775.0
13468691,10875.0,29394.0,35203127,0.0
13460500,193805.0,289755.0,35200726,8715.0
13468693,1505.0,9937.0,35203113,0.0
13452310,10210.0,27403.0,35202363,50805.0
13452313,1830.0,23411.0,35201903,0.0
13444126,3910.0,38905.0,35200214,0.0
30098462,2105.0,13130.0,35202747,0.0
13468705,11055.0,29905.0,35203129,0.0
14042147,349430.0,317402.0,35200949,54355.0
13452332,720.0,7730.0,35204338,0.0
14672941,411260.0,292992.0,35200808,82115.0
13444145,0.0,486.0,35204227,0.0
13460537,120895.0,319994.0,35204538,174490.0
